fuzzy_risk,classes,functions,comment_lines,ncloc,lines,complexity,class_complexity,function_complexity,blocker_violations,critical_violations,major_violations,minor_violations,Label
51.11,46,156,403,2137,4362,344,7.5,2.2,0,12,81,47,1
50,79,499,1115,8793,12593,1706,21.6,3.4,2,0,720,689,1
51.11,12,170,916,2840,4351,562,46.8,3.3,0,9,938,564,1
0,5,15,84,220,371,40,8,2.3,0,0,14,6,0
15,6,33,0,191,248,34,5.7,1,0,0,19,7,0
51.11,9,37,133,748,1364,109,12.1,2.9,0,1,33,13,1
0,6,61,50,857,1006,137,22.8,2.2,0,0,97,183,0
51.11,37,234,51,3844,5262,823,22.2,3.5,12,1,169,91,1
50,51,210,568,4797,7433,714,14,3.4,0,3,1254,195,1
0,52,279,375,4504,6664,1012,19.5,3.6,9,2,283,336,0
51.11,108,699,3282,9909,19930,1748,16.2,2.5,4,3,1241,396,1
0,21,186,431,2556,3642,638,30.4,3.4,0,0,253,150,0
51.11,6,76,209,914,1304,210,35,2.8,0,0,47,151,1
0,13,108,100,1327,1658,392,30.2,3.6,2,5,205,112,0
0,35,154,19,1472,2520,264,7.5,1.7,0,0,51,72,0
50,10,43,254,1037,1623,171,17.1,3.9,0,0,59,35,1
50,143,797,3931,16373,26929,2943,20.6,3.7,0,81,1460,940,1
51.11,17,85,487,1703,2646,445,26.2,5.2,0,0,262,139,1
51.11,14,57,91,812,1429,121,8.6,2.1,0,0,20,20,1
0,25,162,167,1578,2382,327,13.1,1.8,0,0,111,139,0
0,14,96,124,942,1452,185,13.2,1.9,0,0,87,46,0
51.11,3,32,44,374,525,80,26.7,2.5,0,0,25,9,1
0,25,229,630,2681,4106,559,22.4,2.4,0,0,206,248,0
0,3,17,36,301,480,66,22,3.9,0,0,37,12,0
0,27,167,824,2166,3597,457,16.9,2.6,2,1,265,94,0
0,8,14,42,247,385,19,2.4,1.4,0,0,5,21,0
0,45,298,301,4154,5637,1093,24.3,3.7,0,2,228,89,0
0,1,2,0,81,106,17,17,8.5,0,0,27,6,0
0,4,11,32,272,411,63,15.8,3,1,0,62,37,0
50,190,1325,9449,21372,45870,3688,19.4,2.7,1,1,2552,3562,1
0,5,55,110,641,1026,135,27,2.5,1,0,8,23,0
51.11,313,1729,3774,31000,45999,5598,17.9,3.2,2,8,1579,1221,1
0,112,719,1206,10135,14345,2215,19.8,3.1,0,4,638,228,0
51.11,3,6,12,105,162,16,5.3,2.7,0,1,4,1,1
51.11,267,1501,763,17843,22808,3403,12.7,2.3,2,31,1391,681,1
53.33,128,504,257,5476,7256,1118,8.7,2.2,0,1,356,491,1
50,22,76,61,1288,2026,256,11.6,3.4,0,0,149,36,1
